1;BANDAS FRENOSVEN 20-0002 682 D;2;28;19,78;BANDAS;FRENOSVEN
2;BANDAS FRENOSVEN 20-0014 1276 D;4;23;16,26;BANDAS;FRENOSVEN
3;BANDAS FRENOSVEN 20-0015 1276 DX;0;23;16,26;BANDAS;FRENOSVEN
4;BANDAS FRENOSVEN 20-0017 1278 D;2;32;22,19;BANDAS;FRENOSVEN
5;BANDAS FRENOSVEN 20-0019 1279 D;1;32;22,19;BANDAS;FRENOSVEN
6;BANDAS FRENOSVEN 20-0021 1307 D;0;32;22,19;BANDAS;FRENOSVEN
7;BANDAS FRENOSVEN 20-0023 1308 D;5;25;24,75;BANDAS;FRENOSVEN
8;BANDAS FRENOSVEN 20-0025 1417 D;0;23;16,25;BANDAS;FRENOSVEN
9;BANDAS FRENOSVEN 20-0027 1467 D;10;18;16,29;BANDAS;FRENOSVEN
10;BANDAS FRENOSVEN 20-0029 1482 NPR LIGA;9,5;22;16,29;BANDAS;FRENOSVEN
11;BANDAS FRENOSVEN 20-0042 2171 MOD (4 LARGAS);0;22;18,87;BANDAS;FRENOSVEN
12;BANDAS FRENOSVEN 20-0043 2171 MOD 3/8 (4 LARGAS);1;22;18,87;BANDAS;FRENOSVEN
13;BANDAS FRENOSVEN 20-0044 2171 MOD XX  (4 LARGAS 0,315);0;22;18,57;BANDAS;FRENOSVEN
14;BANDAS FRENOSVEN 20-0045 2171 D MOD XX TRITON;7;22;15,08;BANDAS;FRENOSVEN
15;BANDAS FRENOSVEN 20-0106 FORD F750 DL 4561;0;34;22,85;BANDAS;FRENOSVEN
16;BANDAS FRENOSVEN 20-0108 2171 MOD  7/16  (4 LARGAS);0;22;17,17;BANDAS;FRENOSVEN
17;BANDAS FRENOSVEN 20-0109 2137 3/8 MOD;3;18;12,89;BANDAS;FRENOSVEN
18;BANDAS FRENOSVEN 20-0035 2137 XX;1;18;12,89;BANDAS;FRENOSVEN
19;BANDAS FRENOSVEN 20-0036 2137 XX MOD;2;18;12,89;BANDAS;FRENOSVEN
20;BANDAS FRENOSVEN 20-0038 2157  MOD 3/8;0;26;18,01;BANDAS;FRENOSVEN
21;BANDAS FRENOSVEN 20-0057 ENCAVA 8709 D 0900;14;25;21,11;BANDAS;FRENOSVEN
22;BANDAS FRENOSVEN 20-0059 ENCAVA DL D (4) 606;2;24;18,37;BANDAS;FRENOSVEN
23;BANDAS FRENOSVEN 20-0061 ENCAVA TR D (4) 614;0;32;22,24;BANDAS;FRENOSVEN
24;BANDAS FRENOSVEN 20-0062 FTF - 619  DL 0247;0;44;31,01;BANDAS;FRENOSVEN
25;BANDAS FRENOSVEN 20-0063 FTF - 619  DL  D 0247AD;4;44;31,01;BANDAS;FRENOSVEN
26;BANDAS FRENOSVEN 20-0065 FTR - 619  TR  D 0249;5;31;21,82;BANDAS;FRENOSVEN
27;BANDAS FRENOSVEN 20-0068 HINO GAGO DL D 4370;10;28;22,46;BANDAS;FRENOSVEN
28;BANDAS FRENOSVEN 20-0070 IVECO 11.2 - 100 D 5912;5;25;17,81;BANDAS;FRENOSVEN
